Year;Value
1996;54500
1997;59000
1998;63000
1999;67750
2000;78000
2001;85000
2002;97000
2003;123500
2004;141000
2005;155000
2006;160000
2007;170000
2008;175000
2009;159000
2010;185000
2011;175000
